Timestamp, Durata Trasferimento (s), Dati Trasferiti (byte), CPU Occupata (%)
2024-12-27 18:55:25, 0, 59910, 11.777596
2024-12-27 19:00:59, 47, 373356816, 17.697685
2024-12-27 19:11:38, 50, 373356816, 18.411789
2024-12-27 19:15:42, 48, 373356816, 13.049857
2024-12-27 19:23:49, 0, 59910, 13.403604
2024-12-27 19:24:07, 0, 59910, 26.506659
2024-12-27 19:38:02, 0, 59910, 42.79733
2024-12-27 19:39:33, 45, 373356816, 8.980489
2024-12-27 19:44:56, 46, 373356816, 4.889042
2024-12-27 19:53:05, 43, 373356816, 10.644213
2024-12-27 19:55:18, 0, 59910, 11.776581
2024-12-27 19:58:42, 0, 59910, 38.398396
2024-12-27 19:59:53, 44, 373356816, 7.88562
